County,gas_prod,longitude,latitude,depth,elevation,well,status,field,geology
Erie,29938.0,-78.67236,42.76035,1860.0,1012.0,gas development,plugged abandoned,East Aurora,Medina
Chautauqua,20536.0,-79.3565,42.43673,2180.0,700.0,gas development,inactive,Lakeshore,Medina
Erie,26506.0,-78.66412,42.74864,1952.0,965.0,gas development,inactive,East Aurora,Medina
Erie,26137.0,-78.69185,42.78099,1682.0,880.0,gas development,inactive,Elma,Medina
Chautauqua,6153.0,-79.49435,42.10518,4079.0,1530.0,gas development,inactive,Lakeshore,Medina
Erie,11208.0,-78.69042,42.75708,1820.0,970.0,gas development,inactive,East Aurora,Medina
Chautauqua,17573.0,-79.53959,42.3459,2460.0,718.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3440.0,-79.35538,42.01323,4670.0,1625.0,gas development,plugged abandoned,Lakeshore,Medina
Chautauqua,4338.0,-79.36256,42.01217,4760.0,1725.0,gas development,plugged abandoned,Lakeshore,Medina
Erie,5758.0,-78.69438,42.74291,2075.0,1097.0,gas development,inactive,East Aurora,Medina
Erie,10854.0,-78.68704,42.73787,2055.0,1052.0,gas development,inactive,East Aurora,Medina
Erie,14015.0,-78.6543,42.76219,1760.0,870.0,gas development,plugged abandoned,East Aurora,Medina
Erie,6502.0,-78.67854,42.76578,1805.0,960.0,gas development,plugged abandoned,East Aurora,Medina
Erie,6462.0,-78.67825,42.74135,1920.0,1000.0,gas development,inactive,East Aurora,Medina
Chautauqua,14140.0,-79.34871,42.14637,4094.0,1540.0,gas development,inactive,Lakeshore,Medina
Chautauqua,20453.0,-79.32357,42.16012,4280.0,1758.0,gas development,inactive,Lakeshore,Medina
Chautauqua,10127.0,-79.29884,42.35803,3265.0,1362.0,gas development,inactive,Lakeshore,Medina
Chautauqua,29992.0,-79.31241,42.20819,3800.0,1475.0,gas development,inactive,Lakeshore,Medina
Chautauqua,24481.0,-79.32918,42.14937,4262.0,1692.0,gas development,inactive,Lakeshore,Medina
Cattaraugus,3073.0,-78.89822,42.41908,3204.0,1360.4791666666667,gas extension,plugged abandoned,Lakeshore,Medina
Chautauqua,15346.0,-79.37425,42.19856,4016.0,1670.0,gas development,inactive,Lakeshore,Medina
Chautauqua,22819.0,-79.3805,42.18116,3852.0,1460.0,gas development,inactive,Lakeshore,Medina
Chautauqua,11246.0,-79.35099,42.18973,4126.0,1715.0,gas development,inactive,Lakeshore,Medina
Chautauqua,15537.0,-79.35644,42.20824,4055.0,1730.0,gas development,inactive,Lakeshore,Medina
Chautauqua,14621.0,-79.37736,42.21499,3946.0,1640.0,gas development,inactive,Lakeshore,Medina
Chautauqua,18034.0,-79.34055,42.21532,3937.0,1615.0,gas development,inactive,Lakeshore,Medina
Chautauqua,23983.0,-79.24243,42.46491,2408.0,915.0,gas development,inactive,Lakeshore,Medina
Chautauqua,18210.0,-79.36027,42.21396,3973.0,1750.0,gas development,inactive,Lakeshore,Medina
Chautauqua,10912.0,-79.28201,42.40654,2950.0,1208.0,gas development,inactive,Lakeshore,Medina
Genesee,2304.0,-78.11428,42.94769,1475.0,995.0,gas development,plugged abandoned,Bethany,Medina
Chautauqua,14286.0,-79.3616,42.17962,3962.0,1540.0,gas development,inactive,Lakeshore,Medina
Chautauqua,17804.0,-79.36715,42.19804,3959.0,1610.0,gas development,inactive,Lakeshore,Medina
Chautauqua,26776.0,-79.34389,42.16373,4207.0,1707.0,gas development,inactive,Lakeshore,Medina
Chautauqua,12807.0,-79.27269,42.37898,3194.0,1335.4519572953736,gas development,inactive,Lakeshore,Medina
Chautauqua,21891.0,-79.34225,42.15795,4161.0,1680.0,gas development,inactive,Lakeshore,Medina
Chautauqua,11361.0,-79.33127,42.18224,4248.0,1780.0,oil wildcat,inactive,Ellery,Medina
Chautauqua,7318.0,-79.18755,42.31341,4067.0,1981.0,gas development,inactive,Lakeshore,Medina
Cattaraugus,6962.0,-78.98113,42.36343,3446.0,1300.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3785.0,-79.31064,42.16507,4192.0,1685.0,gas development,inactive,Lakeshore,Medina
Chautauqua,14405.0,-79.40307,42.13087,3975.0,1418.0,gas development,plugged abandoned,Lakeshore,Medina
Chautauqua,13354.0,-79.39816,42.13174,3963.0,1391.0,gas development,plugged abandoned,Lakeshore,Medina
Erie,10369.0,-78.89735,42.588139,2561.0,1185.0,gas development,shut in,North Collins,Medina
Madison,6940.0,-75.5938,42.80423,2880.0,1348.0,gas development,inactive,Bradley Brook - Herkimer pool,Herkimer
Chautauqua,16547.0,-79.09843,42.3942,3435.0,1605.0,gas development,plugged abandoned,Lakeshore,Medina
Chautauqua,23811.0,-79.17107,42.48801,2317.0,846.0,gas development,shut in,Lakeshore,Medina
Chautauqua,19241.0,-79.21043,42.0905,4506.0,1560.0,gas development,inactive,Lakeshore,Medina
Allegany,5220.0,-77.77378,42.06183,1252.0,2192.0,oil development,inactive,Beech Hill-Independence,Fulmer Valley
Chautauqua,2589.0,-79.33425,42.19109,4191.0,1755.0,gas wildcat,inactive,Ellery,Bass Island
Erie,29047.0,-79.07507,42.63278,1560.0,600.0,gas development,shut in,Lakeview,Medina
Erie,7436.0,-79.06799,42.60294,1800.0,660.0,gas development,plugged abandoned,Lakeview,Medina
Erie,4487.0,-78.78065,42.71642,1840.0,860.0,gas development,inactive,Orchard Park-Hamburg,Medina
Erie,30606.0,-78.78294,42.71088,1896.0,910.0,gas development,inactive,Orchard Park-Hamburg,Medina
Erie,6960.0,-78.72218,42.78569,2000.0,830.0,gas development,inactive,West Seneca,Medina
Erie,4202.0,-78.77171,42.71571,1845.0,870.0,gas wildcat,inactive,Orchard Park-Hamburg,Medina
Chautauqua,25484.0,-79.25271,42.44965,2613.0,1177.4202127659576,gas development,inactive,Lakeshore,Medina
Erie,4201.0,-78.77959,42.70551,1860.0,1071.2222222222222,gas development,inactive,Orchard Park-Hamburg,Medina
Erie,10183.0,-78.77178,42.71183,1180.0,1054.72,gas wildcat,inactive,Chestnut Ridge,Onondaga
Erie,9810.0,-78.72263,42.70434,2420.0,1320.0,gas development,inactive,Orchard Park-Hamburg,Medina
Allegany,5220.0,-77.77472,42.06291,1210.0,2206.0,oil development,inactive,Beech Hill-Independence,Fulmer Valley
Erie,12310.0,-78.78257,42.72118,1820.0,840.0,gas development,inactive,Orchard Park-Hamburg,Medina
Erie,14275.0,-78.71677,42.73574,1988.0,1010.0,gas development,inactive,Orchard Park-Hamburg,Medina
Wyoming,3710.0,-78.44143,42.72326,2493.0,1275.0,gas wildcat,inactive,Dutch Hollow,Upper Devonian
Erie,2406.0,-78.97406,42.71002,1448.0,672.0,gas development,inactive,Lakeview,Medina
Chautauqua,8821.0,-79.12955,42.02555,4844.0,1580.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3246.0,-79.44711,42.09113,4108.0,1450.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2610.0,-79.12148,42.06154,4693.0,1540.0,gas development,inactive,Lakeshore,Medina
Erie,3778.0,-78.99922,42.66609,1600.0,670.0,gas development,inactive,Lakeview,Medina
Allegany,3259.0,-77.76018,42.06506,1219.0,2200.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Allegany,3374.0,-77.75285,42.07131,1274.0,2230.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Erie,19246.0,-78.96658,42.72079,1311.0,747.6770833333334,gas development,inactive,Lakeview,Medina
Allegany,2525.0,-77.74839,42.07767,1145.0,2200.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Cattaraugus,18862.0,-78.84434,42.44083,3240.0,1270.0,gas development,shut in,Lakeshore,Medina
Cattaraugus,9691.0,-78.87755,42.42933,3390.0,1408.0,gas development,shut in,Lakeshore,Onondaga
Allegany,3385.0,-78.0818,42.09591,1300.0,2055.0,oil development,active,Richburg,Richburg
Allegany,2967.0,-77.76255,42.07034,1267.0,2240.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Allegany,5983.0,-77.76357,42.07645,1233.0,2270.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Chautauqua,11664.0,-79.30518,42.04103,4515.0,1552.0,gas development,shut in,Lakeshore,Medina
Allegany,3373.0,-77.76464,42.07247,1256.0,2280.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Erie,5442.0,-78.755678,42.593297,3098.0,1480.0,gas development,inactive,Concord,Medina
Allegany,5981.0,-77.76359,42.07532,1249.0,2167.4480369515013,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Erie,19586.0,-78.86864,42.75677,1350.0,820.922077922078,gas development,inactive,Orchard Park-Hamburg,Medina
Allegany,5981.0,-77.76204,42.07433,1245.0,2167.8538283062644,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Chautauqua,15311.0,-79.12967,42.49879,2350.0,880.0,gas development,active,Lakeshore,Medina
Chautauqua,19651.0,-79.51099,42.10585,4145.0,1635.0,gas development,shut in,Lakeshore,Medina
Erie,25728.0,-78.86675,42.75714,1350.0,817.1184210526316,gas development,inactive,Orchard Park-Hamburg,Medina
Allegany,2605.0,-77.74834,42.07636,1144.0,2100.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Allegany,5983.0,-77.76269,42.07737,1235.0,2270.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Allegany,2605.0,-77.74673,42.07763,1208.0,2100.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
Allegany,7487.0,-78.0889,42.1029,1880.0,2340.0,oil development,active,Richburg,Upper Devonian
Cattaraugus,6384.0,-78.95498,42.38372,3315.0,1367.0,gas development,inactive,Lakeshore,Medina
Cattaraugus,19864.0,-78.81481,42.41689,3394.0,1345.0,gas wildcat,inactive,Lakeshore,Medina
Chautauqua,30333.0,-79.49446,42.11577,4079.0,1640.0,gas development,inactive,Lakeshore,Medina
Chautauqua,30572.0,-79.299315,42.319033,3298.0,1314.0,gas development,shut in,Lakeshore,Medina
Allegany,3383.0,-78.08585,42.09772,1341.0,2110.0,oil development,active,Richburg,Richburg
Cattaraugus,22878.0,-78.80498,42.4227,3381.0,1305.0,gas extension,shut in,Lakeshore,Medina
Chautauqua,5492.0,-79.15158,42.49627,2297.0,815.0,gas development,shut in,Lakeshore,Medina
Allegany,3387.0,-78.08278,42.09704,1274.0,2050.0,oil development,active,Richburg,Richburg
Allegany,3385.0,-78.08488,42.0971,1274.0,2085.0,oil development,active,Richburg,Richburg
Wyoming,5202.0,-78.32928,42.6107,3485.0,1762.0,gas development,shut in,Java,Medina
Wyoming,3011.0,-78.36675,42.70643,2885.0,1610.0,gas development,inactive,Sheldon,Medina
Allegany,3384.0,-78.080856,42.095481,1220.0,2015.0,oil development,active,Richburg,Richburg
Chautauqua,6493.0,-79.42847,42.10064,4074.0,1515.0,gas development,shut in,Lakeshore,Medina
Allegany,3424.0,-78.08283,42.09634,1228.0,2015.0,oil development,active,Richburg,Richburg
Chautauqua,2216.0,-79.56027,42.02382,4464.0,1600.0,gas development,inactive,Lakeshore,Medina
Allegany,3243.0,-77.76065,42.06653,1840.0,2200.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
